Date,AAPL,CVX,DIS,FB,IBM,INTC,JNJ,KO,MCD,MSFT,NKE,PG,UTX,VZ
8/4/2017,0.045056473,0.018238145,-0.02085996,-0.016546711,0.006011543,0.035116283,0.010036622,-0.011146298,-0.013110771,-0.004941046,0.018407995,0.00508637,0.021801602,0.020031572
7/28/2017,-0.00513752,0.046088444,0.0264471,0.047622417,-0.019151394,0.016562347,-0.025903421,0.021529702,0.012461015,-0.010215985,-0.021582414,0.01789546,-0.038129822,0.080546941
7/21/2017,0.008219232,-0.011459392,0.018852497,0.027498601,-0.047533399,0.001440801,0.02023127,0.007802901,-0.008796984,0.013782041,0.033067939,0.024998064,0.000648039,0.015263992
7/14/2017,0.033152221,0.009137688,0.01698605,0.054796784,0.008464169,0.023338305,0.000452779,0.006511802,-0.006355326,0.046690204,0.000344788,-0.006294761,0.006503585,0.001838194
7/7/2017,0.001110274,-0.008084068,-0.020552162,0.003042169,-0.00580237,0.004140731,0.001887756,-0.010309298,0.020102123,0.007659509,-0.017439308,0.005720841,0.004086435,-0.013758957
6/30/2017,-0.01557055,-0.006401317,0.017948363,-0.026729322,-0.001818703,-0.013248934,-0.030815016,-0.008879138,-0.00961657,-0.032541713,0.110079794,-0.025713582,-0.000900596,-0.016213418
6/23/2017,0.027795894,-0.031406432,-0.010959206,0.028983795,-0.008206876,-0.029397033,0.015363138,-0.00132517,0.017285009,0.017137896,0.033673259,-0.002680374,0.014754063,-0.02695226
6/16/2017,-0.046085147,0.018161174,-0.001042114,0.006927772,0.008271951,-0.014100529,0.021213664,0.007975315,0.003361179,-0.004560861,-0.045149306,0.016871302,-0.001742269,-0.001928318
6/9/2017,-0.042512168,0.031409285,-0.014661862,-0.026451824,0.013392337,-0.016937935,0.011085023,-0.012498946,-0.014809461,-0.020271227,0.009019305,-0.004865537,-0.012193272,0.00601128
6/2/2017,0.011907268,-0.015493794,-0.011410749,0.009681478,-0.002889595,0.001653419,0.024592792,0.010955646,0.031810626,0.025403798,0.010791017,0.015241412,0.002213433,0.024412745
5/26/2017,0.003586967,-0.017042614,0.008243498,0.027117868,0.003349906,0.024003363,0.005979454,0.033377379,0.011476343,0.032984982,0.015715201,0.011643451,0.005678714,-0.002204135
5/19/2017,-0.019666974,0.015392135,-0.019981328,-0.015215307,0.010650236,-0.003665544,0.026812909,0.007086623,0.019011851,-0.004426121,-0.045870101,0.000579879,0.008178937,-0.009204651
5/12/2017,0.050938128,0.001605523,-0.020751329,0.000598842,-0.02092745,-0.035663876,0.001052043,-0.002291555,0.009677902,-0.009026193,0.004623251,-0.003590181,-0.004294376,-0.018372755
5/5/2017,0.036298188,-0.008565112,-0.031726458,-6.65E-05,-0.033236842,0.025762322,0.00032384,0.012436873,0.028393165,0.007856843,-0.026702422,-0.009549722,0.019639554,0.016846992
4/28/2017,0.009652915,0.0171089,0.01008533,0.044712018,-0.00056141,-0.004691494,0.013946282,0.001855713,0.047715249,0.030552582,-0.007909283,-0.014663391,0.034194225,-0.028769879
4/21/2017,0.008612308,-0.01146991,0.010894465,0.030312803,-0.055483967,0.02990301,-0.026181602,0.006522249,0.020063486,0.022079366,0.009173334,-0.008161807,0.025543072,-0.028582279
4/14/2017,-0.01610507,-0.025680565,0.005492108,-0.009922629,-0.015278243,-0.021886555,0.000560058,0.004215463,0.006136786,-0.011176984,0.004164948,0.008925646,-0.00799722,-0.00082235
4/7/2017,-0.002229932,0.013781864,-0.007169096,-0.008980748,-0.01155129,-0.001109315,0.002966183,0.003997623,0.002696879,-0.00273646,-0.011187566,-0.00692422,0.006927179,0.010003008
3/31/2017,0.021245937,-0.005757742,0.011085046,0.012111108,0.001781668,0.025552346,-0.007439085,0.007568704,0.002085414,0.013451558,-0.011241009,-0.007981405,0.003660602,-0.018897201
3/24/2017,0.004632441,0.002874607,0.003394422,0.003569138,-0.010415616,-0.003123605,-0.020352374,0.002138937,0.005426704,0.001694291,-0.025229063,-0.00473646,-0.014650622,-0.014190258
3/17/2017,0.006090412,-0.026846523,0.007544562,0.007536934,-0.012334633,-0.017983226,0.014551601,0.002620696,0.005143756,-0.000924423,0.023987803,-0.000768928,0.011614123,0.020854989
3/10/2017,-0.004589075,-0.026232869,-0.00288085,0.011740931,-0.012406583,0.000278544,0.01936061,-0.004482736,0.000625221,0.010528027,-0.004773241,0.006278658,-0.001781794,-0.014883517
3/3/2017,0.022573673,0.030672679,0.00830479,0.012692265,-0.007194267,-0.017396556,0.008599814,0.016615624,0.001486782,-0.005742255,-0.017141121,-0.006059241,-0.001067735,-0.010130335
2/24/2017,0.006902051,-0.001905205,0.002359608,0.014202588,0.003756787,0.001369686,0.038635724,0.013251681,0.006628948,0,0.019370611,-0.000438963,0.002760304,0.028261261
2/17/2017,0.026883345,-0.014827964,0.007295245,-0.004930557,0.011075616,0.031748875,0.03092934,0.015890585,0.015614229,0.015684974,0.009382976,0.03485199,0.015789976,0.004278239
2/10/2017,0.027604471,-0.004588995,-0.009473615,0.024212112,0.024011523,-0.03284463,0.013981392,-0.0233814,0.012637213,0.005012508,0.0711297,0.006386197,0.012686979,0.00820007
2/3/2017,0.056821305,-0.001935341,0.009107516,-0.009119968,-0.008382347,-0.032086216,0.00229058,0.002168984,0.011169616,-0.032445302,-0.015727321,0.007925156,-0.000455788,-0.020778716
1/27/2017,0.016119427,-0.015781313,0.015118362,0.039662572,0.038814617,0.027764846,-0.006768307,0.003141363,0.004895572,0.047316697,-0.000188045,-0.008382675,-0.009887121,-0.061004157
1/20/2017,0.008032105,-0.006724779,-0.003708483,-0.010180956,0.019000889,0.004069007,-0.003934455,0.010705553,0.00623555,0.000637722,0.005277169,0.04801946,0.005158044,0.003229749
1/13/2017,0.009537953,-0.003944754,-0.008477897,0.039170783,-0.01300228,0.008461654,-0.014725307,-0.020818859,0.00610921,-0.002230257,-0.018534705,-0.012068101,-0.020919274,-0.013420438
